brottstyp_id;namn;niva;grupp_id;grupp;sokvag
5245;Inomhus;2;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Inomhus
14008;Närstående genom parrelation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Inomhus, Närstående genom parrelation
14012;Närstående genom släktskap/familj;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Inomhus, Närstående genom släktskap/familj
14016;Annan slags relation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Inomhus, Annan slags relation
14020;Obekanta;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Inomhus, Obekanta
5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);0;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019)
5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);1;11093;6 kap. Sexualbrott;Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019)
5249;Mot barn 15-17 år;1;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot barn 15-17 år
5252;Mot flicka 15-17 år;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot barn 15-17 år, Mot flicka 15-17 år
5253;Mot pojke 15-17 år;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot barn 15-17 år, Mot pojke 15-17 år
5250;Mot kvinna 18 år eller äldre;1;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot kvinna 18 år eller äldre
14369;Närstående genom parrelation;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot kvinna 18 år eller äldre, Närstående genom parrelation
14370;Närstående genom släktskap/familj;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot kvinna 18 år eller äldre, Närstående genom släktskap/familj
14371;Annan slags relation eller bekantskap;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot kvinna 18 år eller äldre, Annan slags relation eller bekantskap
14372;Obekanta;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot kvinna 18 år eller äldre, Obekanta
5251;Mot man 18 år eller äldre;1;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot man 18 år eller äldre
14365;Närstående genom parrelation;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot man 18 år eller äldre, Närstående genom parrelation
14366;Närstående genom släktskap/familj;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot man 18 år eller äldre, Närstående genom släktskap/familj
14367;Annan slags relation eller bekantskap;2;5246;Sexuellt övergrepp (2 §) (Fr. o. m. 2019);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2019), Mot man 18 år eller äldre, Annan slags relation eller bekantskap
