brottskod;benamning;upphord;kodgrupp
0442;Olaga förföljelse mot kvinna 18 år eller äldre(upphörde år 2019);2019;04
0443;Olaga förföljelse mot man 18 år eller äldre(upphörde år 2019);2019;04
0450;Olaga hot, mot flicka under 18 år, internetrelaterat;;04
0451;Olaga hot, mot flicka under 18 år, ej internetrelaterat;;04
0452;Olaga hot, mot pojke under 18 år, internetrelaterat;;04
0453;Olaga hot, mot pojke under 18 år, ej internetrelaterat;;04
0454;Olaga hot, mot kvinna 18 år eller äldre, internetrelaterat(upphörde år 2019);2019;04
0455;Olaga hot, mot kvinna 18 år eller äldre, ej internetrelaterat(upphörde år 2019);2019;04
0456;Olaga hot, mot man 18 år eller äldre, internetrelaterat(upphörde år 2019);2019;04
0457;Olaga hot, mot man 18 år eller äldre, ej internetrelaterat(upphörde år 2019);2019;04
0458;Olaga hot, mot grupp, internetrelaterat;;04
0459;Olaga hot, mot grupp, ej internetrelaterat;;04
0470;Människohandel för tvångsarbete med barn under 18 år (upphörde år 2025);2025;04
0471;Människohandel för tvångsarbete med person 18 år eller äldre (upphörde år 2025);2025;04
0472;Människohandel för tiggeri med barn under 18 år (upphörde år 2025);2025;04
0473;Människohandel för tiggeri med person 18 år eller äldre(upphörde år 2025);2025;04
0474;Människohandel för organhandel med barn under 18 år (upphörde år 2025);2025;04
0475;Människohandel för organhandel med person 18 år eller äldre(upphörde år 2025);2025;04
0476;Människohandel för krigstjänst med barn under 18 år (upphörde år 2025);2025;04
0477;Människohandel för krigstjänst med person 18 år eller äldre(upphörde år 2025);2025;04
0478;Människohandel för övriga ändamål med barn under 18 år(upphörde år 2025);2025;04
0479;Människohandel för övriga ändamål med person 18 år eller äldre(upphörde år 2025);2025;04
0480;Olovlig identitetsanvändning, mot flicka under 18 år;;04
0481;Olovlig identitetsanvändning, mot pojke under 18 år;;04
0482;Olovlig identitetsanvändning, mot kvinna 18 år eller äldre;;04
0483;Olovlig identitetsanvändning, mot man 18 år eller äldre;;04
0484;Olaga integritetsintrång mot flicka under 18 år;;04
0485;Olaga integritetsintrång mot pojke under 18 år;;04
0486;Olaga integritetsintrång mot kvinna 18 år eller äldre(upphörde år 2019);2019;04
0487;Olaga integritetsintrång man 18 år eller äldre(upphörde år 2019);2019;04
0488;Olaga tvång mot flicka under 18 år;;04
0489;Olaga tvång mot pojke under 18 år;;04
0490;Olaga tvång mot kvinna 18 år eller äldre (upphörde år 2019);2019;04
0491;Olaga tvång mot man 18 år eller äldre (upphörde år 2019);2019;04
0492;Olovlig avlyssning m.m.;;04
0493;Människoexploatering inkl. grovt för tvångsarbete el. arbete under orimliga villkor, med barn under 18 år;;04
0494;Människoexploatering inkl. grovt för tvångsarbete el. arbete under orimliga villkor, med person 18 år eller äldre;;04
0495;Människoexploatering inkl. grovt för tiggeri, med barn under 18 år;;04
0496;Människoexploatering inkl. grovt för tiggeri, med person 18 år eller äldre;;04
0501;Ärekränkningsbrott (upphörde år 2015);2015;05 - 07
0502;Ärekränkningsbrott, mot flicka under 18 år (upphörde år 2016);2016;05 - 07
0503;Ärekränkningsbrott, mot pojke under 18 år (upphörde år 2016);2016;05 - 07
0504;Ärekränkningsbrott, mot kvinna 18 år eller äldre (upphörde år 2016);2016;05 - 07
0505;Ärekränkningsbrott, mot man 18 år eller äldre (upphörde år 2016);2016;05 - 07
0506;Ärekänkningsbrott mot flicka under 18 år, internetrelaterat;;05 - 07
0507;Ärekänkningsbrott mot flicka under 18 år, ej internetrelaterat;;05 - 07
0508;Ärekänkningsbrott mot pojke under 18 år, internetrelaterat;;05 - 07
0509;Ärekänkningsbrott mot pojke under 18 år, ej internetrelaterat;;05 - 07
0510;Ärekänkningsbrott mot kvinna 18 år eller äldre, internetrelaterat;;05 - 07
0511;Ärekänkningsbrott mot kvinna 18 år eller äldre, ej internetrelaterat;;05 - 07
0512;Ärekänkningsbrott mot man 18 år eller äldre, internetrelaterat;;05 - 07
